도서코드,도서명,저자이름,역자이름,출판사,발행년도,도서가격,대여가능여부,총대여횟수,도서이미지,대분류번호,중분류번호,등록일자,폐기여부,도서이미지경로
0901.001-1,82년생 김지영,조남주,,1,2016.10.14,13000,0,1,,9,1,2019.07.15,0,82년생 김지영.jpg
0901.002-1,천년의 질문,조정래,,2,2016.06.11,14800,0,1,,9,1,2019.07.15,0,
0901.003-1,아몬드,손원평,,3,2017.03.31,12000,0,1,,9,1,2019.07.15,0,아몬드.jpg
0901.004-1,일의 기쁨과 슬픔,장류진,,3,2019.10.25,14000,0,1,,9,1,2019.10.25,0,
0901.005-1,직지 아모르 마네트,김진명,,4,2019.08.01,14000,0,1,,9,1,2019.10.26,0,
0901.006-1,우리가 빛의 속도로 갈 수 없다면,김초엽,,5,2019.06.24,14000,0,1,,9,1,2019.10.27,0,
0901.007-1,소년이 온다,한강,,3,2014.05.19,12000,0,1,,9,1,2019.10.27,0,
0901.008-1,날씨가 좋으면 찾아가겠어요,이도우,,6,2018.07.01,13800,0,1,,9,1,2019.10.27,0,날씨가 좋으면 찾아가겠어요.jpg
0901.009-1,빛의 과거,은희경,,7,2019.08.30,14000,0,1,,9,1,2019.10.27,0,
0901.010-1,물 만난 물고기,이찬혁,,8,2019.09.26,15000,0,1,,9,1,2019.10.27,0,
0901.011-1,내게 무해한 사람,최은영,,9,2018.06.30,13500,0,1,,9,1,2019.10.27,0,
0901.012-1,피프티 피플,정세랑,,3,2016.11.21,14000,0,1,,9,1,2019.10.27,0,
0901.013-1,지구에서 한아뿐,정세랑,,10,2019.07.31,13000,0,1,,9,1,2019.10.27,0,
0901.014-1,사서함 110호의 우편물,이도우,,6,2016.03.18,13000,0,1,,9,1,2019.10.27,0,
0901.015-1,난장이가 쏘아올린 작은공,조세희,,11,2000.07.10,11000,0,1,,9,1,2019.10.27,0,
0901.016-1,바깥은 여름,김애란,,9,2017.06.28,13000,0,1,,9,1,2019.10.27,0,
0901.017-1,채식주의자,한강,,3,2007.10.30,12000,0,1,,9,1,2019.10.27,0,
0901.018-1,디디의 우산,황정은,,3,2019.01.11,14000,0,1,,9,1,2019.10.27,0,
0901.019-1,모순,양귀자,,12,2013.04.01,13000,0,1,,9,1,2019.10.27,0,
0901.020-1,회색 인간,김동식,,13,2017.12.27,13000,0,1,,9,1,2019.10.27,0,
0901.021-1,오직 한 사람의 차지,김금희,,9,2019.08.30,13500,0,0,,9,1,2019.10.27,0,
0901.022-1,최선의 삶,임솔아,,9,2015.07.17,10000,0,0,,9,1,2019.10.27,0,
0901.023-1,사하맨션,조남주,,1,2019.05.28,14000,0,0,,9,1,2019.10.27,0,
0901.024-1,목소리를 드릴게요,정세랑,,14,2020.01.06,14800,1,1,,9,1,2020.01.06,0,
0901.025-1,살인자의 기억법,김영하,,9,2013.07.24,10000,1,3,,9,1,2020.01.06,0,
0901.026-1,설이,심윤경,,15,2019.01.24,13000,1,3,,9,1,2020.01.06,0,
0901.027-1,레몬,권여선,,3,2019.04.22,13000,1,3,,9,1,2020.01.06,0,
0901.028-1,보건교사 안은영,정세랑,,1,2015.12.07,13000,0,2,,9,1,2020.01.06,0,
0901.029-1,오직 두 사람,김영하,,9,2017.05.25,13000,0,2,,9,1,2020.01.06,0,
0901.030-1,아직 멀었다는 말,권여선,,9,2020.02.14,13500,1,2,,9,1,2020.02.14,0,아직 멀었다는 말.jpg
0901.031-1,원미동 사람들,양귀자,,12,2012.12.25,13000,0,1,,9,1,2020.02.14,0,
0901.032-1,슬픈 쥐의 윤회,김용옥,,16,2019.09.09,16000,1,2,,9,1,2020.02.14,0,
0901.033-1,아가미,구병모,,17,2018.03.30,13000,1,2,,9,1,2020.02.14,0,
0901.034-1,옥상에서 만나요,정세랑,,3,2018.11.30,13000,1,2,,9,1,2020.02.14,0,
0901.035-1,두근두근 내 인생,김애란,,3,2011.06.02,12000,1,1,,9,1,2020.02.14,0,
0901.036-1,순이 삼촌,현기영,,3,2015.03.25,13500,0,0,,9,1,2020.02.14,0,
0901.037-1,버선발 이야기,백기완,,18,2019.03.15,13500,0,0,,9,1,2020.02.14,0,
0901.038-1,파과,구병모,,17,2018.04.16,14000,0,1,,9,1,2020.02.14,0,
0901.039-1,비행운,김애란,,7,2012.07.05,12000,0,1,,9,1,2020.02.14,0,
0901.040-1,딸에 대하여,김혜진,,1,2017.09.15,13000,0,1,,9,1,2020.02.14,0,
0901.041-1,7년의 밤,정유정,,19,2011.03.23,14500,0,1,,9,1,2020.02.14,0,
0901.042-1,칼의 노래,김훈,,9,2014.01.15,13500,0,0,,9,1,2020.02.14,0,
0901.043-1,나는 나를 파괴할 권리가 있다,김영하,,9,2010.07.30,10000,0,1,,9,1,2020.02.14,0,
0901.044-1,나의 아름다운 정원,심윤경,,15,2013.11.18,11000,0,1,,9,1,2020.02.14,0,
0901.045-1,항구의 사랑,김세희,,1,2019.06.14,13000,0,1,,9,1,2020.02.14,0,
0901.046-1,나는 소망한다 내게 금지된 것을,양귀자,,12,2019.04.20,13500,0,1,,9,1,2020.02.14,0,
0901.047-1,검은 꽃,김영하,,9,2010.02.16,11000,0,1,,9,1,2020.02.14,0,
0901.048-1,파도가 바다의 일이라면,김연수,,9,2015.10.03,13000,1,1,,9,1,2020.02.14,0,
0901.049-1,엄마를 부탁해,신경숙,,3,2008.10.24,13000,1,1,,9,1,2020.02.14,0,
0901.050-1,친애하고| 친애하는,백수린,,20,2019.02.25,11200,1,1,,9,1,2020.02.14,0,
0902.001-1,누구를 위하여 종은 울리나 (상),어네스트 밀러 헤밍웨이,이종인,21,2012.07.15,10800,1,2,,9,2,2019.07.15,0,누구를 위하여 종은 울리나(상).jpg
0902.002-1,누구를 위하여 종은 울리나 (하),어네스트 밀러 헤밍웨이,이종인,21,2012.07.15,10800,1,2,,9,2,2019.07.15,0,누구를 위하여 종은 울리나(하).jpg
0902.003-1,노인과 바다,어네스트 밀러 헤밍웨이,,9,2012.01.20,8000,1,2,,9,2,2019.07.15,0,노인과 바다.jpg
0902.004-1,초판본 오만과 편견,제인 오스틴,김유미,22,2019.07.15,16800,1,2,,9,2,2019.07.15,0,초판본 오만과 편견.jpg
0902.005-1,은하수를 여행하는 히치하이커를 위한 안내서 합본,더글러스 애덤스,김선형,23,2005.12.12,38000,0,1,,9,2,2019.07.15,0,은하수를 여행하는 히치하이커를 위한 안내서 합본.jpg
0902.006-1,작은 아씨들,루이자 메이 올콧,강미경,24,2020.02.12,16500,1,2,,9,2,2020.02.12,0,작은 아씨들.jpg
0902.007-1,1984,조지 오웰,정회성,1,2003.06.16,9500,1,2,,9,2,2020.02.12,0,1984.jpg
0902.008-1,앵무새 죽이기,하퍼 리,김욱동,21,2019.02.20,12800,1,2,,9,2,2020.02.12,0,앵무새 죽이기.jpg
0902.009-1,호밀밭의 파수꾼,제롬 데이비드 샐린저,공경희,1,2001.05.30,8000,1,2,,9,2,2020.02.12,0,호밀밭의 파수꾼.jpg
0902.010-1,멋진 신세계,올더스 헉슬리,이덕형,25,2018.03.20,11500,1,2,,9,2,2020.02.12,0,멋진 신세계.jpg
0902.011-1,갈매기의 꿈,리처드 바크,공경희,26,2018.06.01,12800,0,1,,9,2,2020.02.12,0,갈매기의 꿈.jpg
0902.012-1,죽은 시인의 사회,N.H 클라인바움,한은주,27,2004.03.30,12500,0,1,,9,2,2020.02.12,0,죽은 시인의 사회.jpg
0902.013-1,내 영혼이 따뜻했던 날들,포리스트 카터,조경숙,28,2014.05.30,15000,0,1,,9,2,2020.02.12,0,내 영혼이 따뜻했던 날들.jpg
0902.014-1,빛과 물질에 관한 이론,앤드루 포터,김이선,9,2019.05.13,13800,0,1,,9,2,2020.02.12,0,빛과 물질에 관한 이론.jpg
0902.015-1,달과 6펜스,윌리엄 서머싯 몸,,1,2000.06.30,9000,0,1,,9,2,2020.02.12,0,달과 6펜스.jpg
0902.016-1,파리대왕,윌리엄 골딩,,1,1999.02.28,8500,0,1,,9,2,2020.02.12,0,파리대왕.jpg
0902.017-1,키다리 아저씨,진 웹스터,허윤정,29,2019.08.01,14800,0,1,,9,2,2020.02.12,0,키다리 아저씨.jpg
0902.018-1,플란다스의 개,위다,손인혜,29,2019.05.10,13800,0,1,,9,2,2020.02.12,0,플란다스의 개.jpg
0902.019-1,그리고 아무도 없었다,애거사 크리스티,,30,2002.05.25,10000,0,1,,9,2,2020.02.12,0,그리고 아무도 없었다.jpg
0902.020-1,빨간 머리 앤,루시 모드 몽고메리,김양미,31,2018.06.15,14800,0,1,,9,2,2020.02.12,0,빨간 머리 앤.jpg
0902.021-1,위대한 개츠비,스콧 피츠제럴드,김영하,9,2009.12.15,9500,0,1,,9,2,2020.02.12,0,위대한 개츠비.jpg
0902.022-1,나니아 연대기,C.S. 루이스,햇살과나무꾼,32,2005.11.05,38000,0,1,,9,2,2020.02.12,0,나니아 연대기.jpg
0902.023-1,레베카,대프니 듀 모리에,이상원,20,2018.08.15,14000,0,1,,9,2,2020.02.12,0,레베카.jpg
0902.024-1,리버보이,팀 보울러,정해영,33,2018.08.17,13500,0,1,,9,2,2020.02.12,0,리버보이.jpg
0902.025-1,대성당(10주년 특별판),레이먼드 카버,김연수,9,2014.07.21,14500,0,1,,9,2,2020.02.12,0,대성당(10주년 특별판).jpg
0902.026-1,폭풍의 언덕,에밀리 브론테,,1,2005.03.15,11000,0,1,,9,2,2020.02.12,0,폭풍의 언덕.jpg
0902.027-1,마션,앤디 위어,박아람,24,2015.07.24,15000,0,1,,9,2,2020.02.12,0,마션.jpg
