출판사번호,출판사 이름,
1,민음사,a
2,해냄,a
3,창비,a
4,쌤앤파커스,a
5,허블,a
6,시공사,a
7,문학과지성사,a
8,수카,a
9,문학동네,a
10,난다,a
11,이성과 힘,a
12,쓰다,a
13,요다,a
14,아작,a
15,한겨레출판,a
16,통나무,a
17,위즈덤하우스,a
18,오마이북,a
19,은행나무,a
20,현대문학,a
21,열린책들,a
22,더스토리,a
23,책세상,a
24,알에이치코리아,a
25,문예출판사,a
26,나무옆의자,a
27,서교출판사,a
28,아름드리미어,a
29,더모던,a
30,해문출판사,a
31,인디고(글담),a
32,시공주니어,a
33,놀,a
34,밝은 세상,a
35,씨앗을 뿌리는사람,a
36,한국헤르만헤세,a
37,동인(종로),a
38,작가정신,a
39,삼성출판사,a
40,북로드,a
41,루페,a
42,황금가지,a
43,마음산책,a
44,나무의철학,a
45,라곰,a
46,시그마프레스,a
47,학지사,a
48,법문사,a
49,교우사,a
50,구상,a
51,자유아카데미,a
52,나눔의 집,a
53,집문당,a
54,나남,a
55,오늘의 문학사,a
56,한국외국어대학교 지식출판원,a
57,청문각,a
58,다른,a
59,와이즈베리,a
60,한나래,a
61,삼영사,a
62,CENGAGE LEARNING,a
63,열다북스,a
64,박영사,a
65,어크로스,a
66,바다출판사,a
67,글항아리,a
68,생각정원,a
69,김앤김북스,a
70,부코,a
71,윤성사,a
72,한양대학교출판부,a
73,이론과실천,a
74,피데스,a
75,비아,a
76,한울아카데미,a
77,연세대학교 대학출판문화원,a
78,M31,a
79,바이오사이언스출판,a
80,더숲,a
81,어바웃어북,a
82,사이언즈북스,a
83,책미래,a
84,바이오스펙테이터,a
85,한울,a
86,라이프사이언스,a
87,씨드북,a
88,나녹,a
89,지브레인,a
90,생각의힘,a
91,까치,a
92,갈라파고스,a
93,플루토,a
94,MID,a
95,21세기북스,a
96,생각의길,a
97,그린북,a
98,사월의책,a
99,북멘토,a
100,생각정거장,a
101,반니,a
102,영진닷컴,a
103,혜지원,a
104,세광음악출판사,a
105,삼호ETM,a
106,삼호뮤직,a
107,큐리어스,a
108,예경,a
109,세진,a
110,루비박스,a
111,에이케이커뮤니케이션즈,a
112,씨아이알,a
113,터닝포인트,a
114,한스미디어,a
115,태학원,a
116,한문화사,a
117,미진사,a
118,시드페이퍼,a
119,진선아트북,a
120,한빛아카데미,a
121,한국문화사,a
122,청람,a
123,전나무숲,a
124,생활성서사,a
125,웅진리빙하우스,a
126,비룡소,a
127,휴먼앤북스,a
128,행복을만드는세상,a
129,돌베개,a
130,중앙북스,a
131,홍익,a
132,청어람미디어,a
133,김영사,a
134,삼호미디어,a
135,서광사,a
136,을유문화사,a
137,창,a
138,행성B 잎새,a
139,옥당,a
140,IVP,a
141,현암사,a
142,흑곰북스,a
143,포이에마,a
144,사이언스북스,a
145,예담,a
146,정신세계사,a
147,동아엠앤비,a
148,크래들,a
149,씨마스,a
150,대광서림,a
151,성안당,a
152,한빛미디어,a
153,크라운출판사,a
154,일진사,a
155,골든벨,a
156,미전사이언스,a
157,학진북스,a
158,한진,a
159,에코리브르,a
160,광일문화사,a
161,보성각,a
162,대가,a
163,녹색평론사,a
164,나무도시,a
165,들녘,a
166,소나무,a
167,아카데미서적,a
168,미래출판기획,a
169,알피니스트,a
170,한국학술정보,a
171,시대고시기획,a
172,서강대학교한국어교육원,a
173,청운,a
174,박이정,a
175,동양문고,a
176,다락원,a
177,북커스베르겐,a
178,문예림,a
179,BGL,a
180,푸른나무,a
181,세계사,a
182,서해문집,a
183,책문,a
184,보고사,a
185,북스넛,a
186,한길사,a
187,숲,a
188,서울대학교,a
189,서울대학교출판부,a
190,두리미디어,a
191,추수밭,a
192,생각의나무,a
193,사계절,a
194,웅진지식하우스,a
195,글로벌콘텐츠,a
196,미래의창,a
